uid,platform,component,componentgroup,createdBy.user.user_id,modifiedBy.user.user_id,updated, applications[0].id
config:component:aggregator:venues_td_emea.lmeomdm,  elektron, lmeomdm,  Venues_TD_EMEA,138890,138890, 2018-01-24T21:54:31.853Z,200048
config:component:aggregator:dco.mw_ibm_mq_prereqs,  other, mw_ibm_mq_prereqs,  DCO,138890,138890, 2018-01-26T04:43:40.674Z,200364
config:component:aggregator:trva.trva_core_rts27,  elektron, trva_core_rts27,  TRVA,138890,138890, 2018-01-04T10:57:59.416Z,204308
config:component:aggregator:trva.trva_core_si,  elektron, trva_core_si,  TRVA,138890,138890, 2018-01-04T10:59:25.413Z,204308
config:component:aggregator:ecp_derived_store.vap_gc_mfd,  content, VAP_GC_MFD,  ECP_Derived_Store,138890,138890, 2017-08-19T06:09:53.874Z,204618
config:component:aggregator:otc_apps.pivotal,  ebs, Pivotal,  OTC_Apps,138890,138890, 2017-08-23T10:25:33.044Z,201152
config:component:aggregator:gcms.laleystarter,  legal, LaLeyStarter,  GCMS,138890,138890, 2017-08-18T05:27:16.606Z,202977
config:component:aggregator:safe_apps.metagb,  ebs, MetaGB,  SAFE_Apps,138890,138890, 2017-08-02T08:33:42.192Z,201132
config:component:aggregator:sales_apps.cris,  ebs, CRIS,  Sales_Apps,138890,138890, 2017-08-23T10:35:16.084Z,201351
config:component:aggregator:ecp_derived_store.sdiadapter_govcorp,  content, SDIAdapter_GOVCORP,  ECP_Derived_Store,138890,138890, 2017-09-15T03:56:05.998Z,204618
config:component:aggregator:otc_apps.great_plains,  ebs, Great_Plains,  OTC_Apps,138890,138890, 2017-08-23T10:27:04.691Z,201458
config:component:aggregator:venues_td_amers.bivamex,  elektron, bivamex,  Venues_TD_AMERS,138890,138890, 2017-09-07T18:04:21.048Z,200048
config:component:aggregator:venues_td_emea.tqgtp,  elektron, tqgtp,  Venues_TD_EMEA,138890,138890, 2017-09-06T14:13:05.899Z,200048
config:component:aggregator:estore.estore_hybris,  ebs, eStore_hybris,  eStore,138890,138890, 2017-09-06T12:48:07.766Z,201593
config:component:aggregator:fixed_income.ifr_drupal,  content, ifr_drupal,  Fixed Income,138890,138890, 2017-08-31T15:45:43.385Z,201991
config:component:aggregator:ecp_derived_store.sdi_dir,  content, SDI_DIR,  ECP_Derived_Store,138890,138890, 2017-09-20T08:07:12.302Z,204618
config:component:aggregator:corporate_apps.hp_automation,  ebs, HP_Automation,  Corporate_Apps,138890,138890, 2017-09-26T11:53:57.826Z,204681
config:component:aggregator:pgo.apache,  other, apache,  PGO,138890,138890, 2017-10-04T09:47:40.928Z,204201
config:component:aggregator:fixed_income.mmd_feed_monitoring,  content, Mmd_feed_monitoring,  Fixed Income,138890,138890, 2017-10-17T06:31:45.394Z,201993
config:component:aggregator:gcms.nexusworkbench,  legal, NexusWorkbench,  GCMS,138890,138890, 2017-10-11T08:30:12.148Z,202977
config:component:aggregator:otc_apps.gaard,  ebs, GAARD,  OTC_Apps,138890,138890, 2017-09-26T11:50:16.860Z,201442
config:component:aggregator:compass_tools.cta_seleniumhub,  eikon, cta_seleniumhub,  Compass Tools,138890,138890, 2017-10-16T11:45:36.018Z,203755
config:component:aggregator:gcms.nexusservice,  legal, NexusService,  GCMS,138890,138890, 2017-10-11T08:30:50.541Z,202977
config:component:aggregator:wm_asset_management.security_view_api,  wealth_management, security_view_api,  WM_Asset_Management,138890,138890, 2017-11-16T21:39:09.249Z,202950
config:component:aggregator:ia_banking_research.deals,  content, Deals,  IA_Banking_Research,138890,138890, 2017-10-23T12:56:03.609Z,201865
config:component:aggregator:wm_envision.charting_service,  wealth_management, charting_service,  WM_Envision,138890,138890, 2017-10-17T06:37:04.044Z,202863
